,Input.selftext,Answer.crowd_input
0,are there any good romantic comedies out right now,","
1,show me a movie about cars that talk,","
2,list the five star rated movies starring mel gibson,","
3,what science fiction films have come out recently,","
4,did the same director make all of the harry potter movies,harry potter
5,show me 1980s action movies,","
6,what is the name of the third movie in the star trek series,","
7,can you get a soundtrac for the harry potter films,","
8,find me science fiction movies since 2005,","
9,what is the most current movie featuring mat damon,","
10,show me films where jim carrey is a detective,","
11,did george clooney make a musical in the 1980s,","
12,show me films with both matt damon ad ben affleck,","
13,what is the borrowers movie,borrowers
14,have u movie hm about to pg 18,","
15,find rated g films with flying cars,","
16,what was the best rated stanley kubrick film,","
17,are there any films directed by shawn levy about large families,","
18,list pg rated movies about cars released in the 1990s,","
19,what movie won best picure at the 2012 oscars,","
20,find me childrens movies with daniel radcliffe from the 2000s,","
21,what was the plot behind 3 days of the condor,","
22,what are considered the must see sci fi movies of the 1970s,","
23,who directed the film pulp fiction that starred john travolta,pulp fiction
24,which film has the highest viewer rating this year,","
25,what was the first movie in color,","
26,may i have the highly acclaimed film from 1985 directed by sylvester stallone,","
27,list the action films starring hugh jackman,","
28,what is a bronx tale rated,bronx tale
29,is there a pg 13 movie thats scary,","
30,what movies made in 2004 were pg,","
31,find movies with robert diniero in it,","
32,have pg 13 movies for the kidz,","
33,list the science fiction movies directed by shawn levy,","
34,what was the last film elizabeth montgomery starred in,","
35,did george clooney direct any comedy films,","
36,what is brad pitts first movie,","
37,find me the movie that has a aerosmith song,","
38,are there any drama movies with seth green,","
39,what is the movie with an aerosmith song,","
40,what is the highest rated kids new release,","
41,worst review for 2011 movies,","
42,show me the milos forman movies from the 1980s,","
43,lets find an independent film company,","
44,which movies were based off of video games besides resident evil,","
45,did dame judy dench star in a british film about queen elizabeth,","
46,present list of family movies that chris columbus directed,","
47,find a movie with dogs as the main character,","
48,show me movies about horse racing,","
49,show me morgan freeman movies from the 90s,","
50,find me the movies that starred anne hathaway and julie andrews,","
51,has sandra bullock made any g rated movies,","
52,list the dirty harry films from the 1980s,dirty harry
53,show me movies about strippers,","
54,are there any meg ryan romantic comedy movies that are considered must see,","
55,what was james camerons directorial debut,","
56,what are top 50 movies of all time,","
57,find me comedy movies with liam hemsworth,","
58,i want to see cradle 2 the grave,","
59,what was the most popular movie from 2004,","
60,what is the g rated movie about rabbits looking for a new home,","
61,what latest 3d movie of any genre is reccommend,","
62,how many movies have tim burton and johnny depp done together,","
63,how many times has matt damon been jason bourne,","
64,whats the latetest foreign romantic movie with lots of sex and sadness,","
65,list movies with jeremy piven released in the 1990s,","
66,show me the collection of action movies of arnold,","
67,are there comic book movies that are over pg 13,","
68,the new batman movie looks epic,batman
69,show me movies who won awards,","
70,what is the year that dirty dancing was released,dirty dancing
71,favorite quote from action movies,","
72,find me the g rated movies with dogs that were released in the 2000s,","
73,are there any silent movies made after 1930,","
74,who was the actress in the goodbye girl with richard dreyfuss,the goodbye girl
75,which movies are made with video game plots,","
76,what video game movies are due to release in 2013,","
77,id like the not to be missed nicole kidman musical,","
78,what movie has the most remakes,","
79,what shakespeare films take place in italy,","
80,what was channing tatums first movie,","
81,i would like a list of movies about dancing from the past 10 years,","
82,who stars in project x,","
83,find action movies featuring comic book characters,","
84,what are some g rated movies with fairies,","
85,name a movie starring britney spears,","
86,what movie did rod serling write,","
87,is there an animated adult fantasy movie,","
88,the song sunshine on my shoulders was the soundtrack for what movie,","
89,are there any movies about popular game shows,","
90,find me the name of the actor that played v in v for vendetta,","
91,what was the last terminator sequel,terminator
92,what science fiction movies were directed by george lucas,","
93,who directed princess bride,","
94,who directed james and the giant peach,","
95,name a western comedy,","
96,what type of movie is nine,","
97,how many movies have starred brad pitt,","
98,i am looking for a movie about talking animals,","
99,find a john malcovich thriller,","
100,channing tatum has played what starring roles,","
101,list of actors a beautiful mind,","
