,Input.selftext,Answer.crowd_input
0,"Tomorrow I leave for college after spening 2 months at home an it is going to be a long train journey- 22 hours. Suggest me movies that I otherwise wouln't watch. Movies that one sees when that is all he can o. Doesn't necessarily have to be long. Just give me your best suggestions.

Thank you in avance.",","
1,"Hey guys im looking for a movie i watche along time ago but cant fin it
It was about a guy talking to his mom who is ying in hospital an he mentions go an heaven an afterlife an everyone at the hospital are shocke an no one in his worl knows about go or afterlife so he gets famous an people keep asking him questions, its a comey movie",","
2,"Whenever a question about this is aske, a very specific crop of fairly popular movies get mentione. So I was curious as to which lesser-known films that came out in VOD or streaming, have a lot of raunch in them. 

I'm looking for movies with a lot of **simulate sex scenes (the sex isn't real)**, so no pornos an no films like Shortbus an 9 Songs (which were theatrical releases, but you know what I mean). Also, try to stick to relatively more obscure films, an not streaming hits like 365 Days","9 Songs, Shortbus, VOD or streaming, 365 Days, popular movies"
3,"i really like true crime ocumentaries, mystery shows/movies (minhunter, no escape, the walking ea, gone girl) just anything that makes you guess lol","the walking ea, minhunter, Gone Girl, Walking Dead, Mindhunter, no escape, No Escape, gone girl"
4,"Whenever a question about this is aske, a very specific crop of fairly popular movies get mentione. So I was curious as to which lesser-known films that came out in VOD or streaming, have a lot of raunch in them. 

I'm looking for movies with a lot of **simulate sex scenes (the sex isn't real)**, so no pornos an no films like Shortbus an 9 Songs (which were theatrical releases, but you know what I mean). Also, try to stick to relatively more obscure films, an not streaming hits like 365 Days","9 Songs, Shortbus, VOD or streaming, 365 Days, popular movies"
5,"I’m looking for a movie with a twist at the en. Maybe something similar to any m night shyamalan film (ie the village, sixth sense etc). Looking for films in the last ten years but oler r welcome also.","Sixth Sense, the village, The Village, sixth sense"
6,"Looking for a vibe similar to Legally Blone, in that it’s a funny but not umb film, nothing too heavy, feel goo sort of flick. So far have foun Romy &amp; Michele’s High School Reunion, Return to Me, How to Lose a Guy in 10 Days, Have You Hear About the Morgan’s, Devil Wears Praa, Never Been Kisse, Easy A, Death Becomes Her, Buffy the Vampire Slayer, Mean Girls, Sweet Home Alabama. Worrie I may have exhauste the stash here","How to Lose a Guy in 10 Days, Return to Me, Buffy the Vampire Slayer, Have You Hear About the Morgan’s, Sweet Home Alabama, Never Been Kisse, Legally Blone, Romy & Michele’s High School Reunion, Devil Wears Praa, Mean Girls, Death Becomes Her, Easy A"
7,My girlfrien an I watche this on Netflix an love it. Any Spaniar movies like it that make you feel goo an have a goo story?,"My girlfrien, Any Spaniar"
8,"I'm looking for movies like liberal arts, goo will hunting, meet joe black... with the movie approaching love from ifferent angles... A feel goo movie that enhances an enriches the iea of love in our mins...","goo will hunting, liberal arts, meet joe black"
9,"I have pretty eclectic taste in movies, but after a stressful ay, The Intern is my favorite “estress an unwin” movie. It’s warm, uplifting, an has goo original music comps an great actors (Anne Hathaway, Robert De Niro, Anrew Rannells…like how many rooms o you think exploe with joy uring the making of this movie). Also love that it’s not rom com-y. But movies that fit this escription are har to fin!!

What o you recommen that’s positive/funny/uplifting, has goo actors, lighthearte music, an isn’t rom com-y?",The Intern
10,Hey so like i really wanna like ault movies like it can even be like 50 shaes of grey or 365 like very toxic relationship movies or like nue movies. I have almost seem all of them but still if like there are more of these I woul really wanna see them...,"365, 50 Shades of Grey, 50 shaes of grey"
11,"Hello :)  


I've been craving some movies lately. I'm asking you guys an gals for recommenations of engaging movies that get me to start writing ieas in my hea of what is/what is going to happen.  
It can be Murer mysteries, sci-fis, Nolan-ish f\*ckery, time travel, or whatever s up for grabs.

As long as it's interesting an it has some sort of style, visually or thematically, I'm open to anything.",","
12,"I just finishe watching ""Never Let Me Go"" an I really really like it. I always thought that I on't enjoy sci-fi movies but I'm realising I might not like the futuristic sci-fi's an that I' really enjoy a sci-fi if it's set in the past. Or at least if the sci-fi part isn't too futuristic. 

&amp;#x200B;

Do you have any suggestions? (extra points if it's british)",Never Let Me Go
13,"Anyone know some goo thrillers, mysteries, an suspense films taking place in California, specifically aroun Los Angeles an the Bay Area? The film that best exemplifies what I'm looking for is Basic Instinct (1992). I am mostly looking for movies release in the 1980s, 1990s, an early 2000s.",Basic Instinct
14,"I am a massive fan of Ingmar Bergman’s work an have watche every one of his movies I care to see. I love the gravity, seriousness, an tone of his movies. I am also a black an white fan. I’ve ha a har time with English speaking movies from the same time perio however. They seem to not be nearly as serious or profoun. Is there anything you think will satisfy or was Bergman ahea of his time?",","
15,"I remember there was a movie that was suppose to follow some comics, I think, but it ene up being woefully receive, but I seeme to enjoy it.

It was basically a super hero that lans from space crashes into the earth like a meteor an has all these crazy abilities, I know it's vague.

The main character was a guy with blone slim blue eyes. Was suppose to have other characters in future films from what I remember. The number 7 rings a bell for some reason. 


Anyone?",","
16,"I love the worl of Casino Royale.

The glamour of the exotic, the ramatic set pieces (the parkour chase scene), Davi Arnol's increibly beautiful, brooing score, that sense of anger aroun every corner...

Any recommenations for globetrotting thrillers with a similar atmosphere?",Casino Royale
17,"What are her best movies? I can't ecie what to watch next. Heres all I have watche so far


- Beetlejuice
- Heathers
- The Crucible
- The Age of Innocence
- Stranger Things
- Girl, Interrupte
- Ewar Scissorhans
- Lucas
- Little Women
- Black Swan
- Mermais
- Destination Weing
- Welcome Home Roxy Carmichael","Girl, Lucas, Ewar Scissorhans, Welcome Home Roxy Carmichae, Beetlejuice - Heathers - The Crucible - The Age of Innocence - Stranger Things - Girl, Interrupte, Black Swan, The Crucible, Beetlejuice, Heathers, The Age of Innocence, Interrupte - Ewar Scissorhans - Lucas - Little Women - Black Swan - Mermais - Destination Weing - Welcome Home Roxy Carmichael, Stranger Things, Destination Weing, Little Women, Mermais, Welcome Home Roxy Carmichael"
18,"So I’m looking for movies similar to either of those : The Lobster, Swiss Army man an The menu 
I watche those three in 2022/23 an really like them an now I’m looking for movies who are similar to them","The menu, The Lobster, Swiss Army man, The Menu"
19,"I've recently watche Taxi Driver, an Mean Streets, an I just love the overall feeling of New York in the 70's. What are some other movies that isplay 1970's New York well?","Mean Streets, Taxi Driver"
20,"Looking for movies with the same atmosphere as:

1922

No Country for Ol Men

I on't really know how to explain it, but if you know any calm, slow but intense movies please suggest. :-)","1922, 1922 No Country for Ol Men, No Country for Old Men"
21,"
I’ve hear so much about it, that’s it’s great an campy an fun. I’m consiering seeing it but I am so easily scare an usually can’t sit through a horror movie. Is it too scary for someone like me? How frightene were you?",","
22,"I recently watche a bunch of teen ramas but I foun that most of them lacke in a certain area that I was looking for. I’m really not picky, I just want a sa teen romance rama that may or may not make me cry. Thanks in avance :)",","
23,"I apologize if my explanation will be confusing. But what I woul like to say is that I woul like to watch some movies that shots the location with awesome cinematography an it will feel like you just wante to stay on that scene, just take in, an appreciate the beauty of nature/location.

Any genre will o. Any location will o whether a ark an gloomy forest, snowy mountain, magical forest, space, fiels, castle on hill, beach, esert, sci-fi look, sky, unerwater. The scene oesn't have to be that long.

It's like **Re Dea Reemption 2** *(Game)* free roam that you just want to turn on the cinematic moe or just look at the whole country up on the Grizzlies. Or like **Smile** *(2022)* upsie-own aerial view of the place from time to time. Or **Devil** *(2010)* upsie-own aerial view of the city in the opening. Or **Harry Potter** where we get the first glimpse of the Hogwarts Castle. Or **Avatar 2** *(2022)* Panora. Or **Journey to the Center of the Earth** *(2008)* location.

It's just that, you get the breathtaking an goosebumps feel when you look at the place because it's so wonerful, beautiful, oly creepy yet calming, an such. Documentaries are fully acceptable.","The Tree of Life, The Grand Budapest Hotel, Red Cliff, Harry Potter, Avatar 2, Arrival, Interstellar, Blue Planet II (documentary series), Lawrence of Arabia, The Lord of the Rings Trilogy, Roma, Dunkirk, The Martian, The Hobbit Trilogy, Mad Max: Fury Road, Devil, Smile, The Assassination of Jesse James by the Coward Robert Ford, Inception, The Dark Knight Trilogy, Life of Pi, Journey to the Center of the Earth, The Thin Red Line, Grizzlies, The Revenant, Dea Reemption 2, The Secret Life of Walter Mitty, Blade Runner 2049, Panora"
24,"Basically, anything that oes not have a plot or a protagonist who oesn't experience something serious or sa. It also shouln't be a motivational or life lesson movie.",","
25,"Nee help to fin some war movies (swors an sheils, not guns an tanks) with some actually goo action sequences

For Eg: 300 by Zack Snyer, King Arthur by Guy Ritchie

PS : alreay seen Troy, LOTR movies, Narnia movies","King Arthur, LOTR movies, Narnia movies, 300, Narnia, Troy, LOTR"
26,"In these last few months i have been binge watching a lot of slice of life/light hearte positive movies to keep up my moo uring exams. 
Now since my en semester exams are over I am craving to watch some Dark Humour/comey type of thing. 
I have a month free to binge watch all of them.",","
